,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,-80.5193,0.041603,1.83961,-84.0244,-80.202,-78.1431,1955.24,486.016,1.00286
alpha,-2.50061,0.00386018,0.235239,-2.89561,-2.49383,-2.13184,3713.65,923.105,1.00017
beta_size[1],0.254027,0.0143008,0.979948,-1.37741,0.267882,1.86354,4695.51,1167.17,1.00043
beta_size[2],0.121239,0.0145425,0.946531,-1.43178,0.149207,1.66914,4236.35,1053.03,0.99995
beta_size[3],-0.199036,0.0129171,0.954709,-1.75258,-0.185204,1.36109,5462.78,1357.89,0.999624
beta_size[4],0.277991,0.0138844,0.877194,-1.20341,0.314223,1.66665,3991.49,992.167,0.999517
beta_age_patch,-0.12092,0.013137,0.683556,-1.22461,-0.130637,1.00941,2707.294975,672.954257,0.999978
beta_patch,-0.620918,0.009754,0.485293,-1.43598,-0.618138,0.176974,2475.493652,615.335235,0.999786
M_pred[1],0.08,0.00442336,0.279499,0.0,0.0,1.0,3992.59,992.441,0.999965
M_pred[2],0.08175,0.00455538,0.284758,0.0,0.0,1.0,3907.54,971.301,0.999806
M_pred[3],0.08825,0.00468332,0.30329,0.0,0.0,1.0,4193.8,1042.46,0.99976
M_pred[4],0.085,0.00493498,0.29546,0.0,0.0,1.0,3584.49,890.999,0.99932
M_pred[5],0.0855,0.00474448,0.292765,0.0,0.0,1.0,3807.68,946.478,1.00059
M_pred[6],0.08225,0.00470138,0.291558,0.0,0.0,1.0,3845.91,955.981,0.999567
M_pred[7],0.084,0.00511522,0.286294,0.0,0.0,1.0,3132.54,778.659,1.00034
M_pred[8],0.085,0.00469579,0.291198,0.0,0.0,1.0,3845.55,955.891,0.999478
M_pred[9],0.08225,0.00459158,0.288107,0.0,0.0,1.0,3937.17,978.665,0.999643
M_pred[10],0.08375,0.00446194,0.285931,0.0,0.0,1.0,4106.52,1020.76,0.999856
M_pred[11],0.08375,0.00460093,0.290271,0.0,0.0,1.0,3980.29,989.383,0.999844
M_pred[12],0.085,0.00464275,0.29546,0.0,0.0,1.0,4049.94,1006.7,1.00092
M_pred[13],0.08075,0.00454265,0.288531,0.0,0.0,1.0,4034.28,1002.8,0.999816
M_pred[14],0.086,0.00462724,0.290043,0.0,0.0,1.0,3929.0,976.634,1.00009
M_pred[15],0.08425,0.0044849,0.288397,0.0,0.0,1.0,4135.0,1027.84,1.00143
M_pred[16],0.09,0.0047244,0.299036,0.0,0.0,1.0,4006.38,995.87,1.00002
M_pred[17],0.082,0.00452618,0.286001,0.0,0.0,1.0,3992.73,992.477,0.999474
M_pred[18],0.08625,0.00493027,0.292972,0.0,0.0,1.0,3531.09,877.726,1.00049
M_pred[19],0.07925,0.00460544,0.283707,0.0,0.0,1.0,3794.88,943.296,1.00125
M_pred[20],0.088,0.00457757,0.29373,0.0,0.0,1.0,4117.45,1023.48,1.00025
M_pred[21],0.09125,0.00466645,0.296556,0.0,0.0,1.0,4038.69,1003.9,0.999909
